date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:39:42	698/698	---M--	200	added ('OK')	image/svg+xml	etag:%225f181017-2ba%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/21.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/21.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:42	1216/1216	---M--	200	added ('OK')	image/svg+xml	etag:%225f181018-4c0%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/22.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/22.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:42	2127/2127	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181018-84f%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/23.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/23.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:43	1514/1514	---M--	200	added ('OK')	image/svg+xml	etag:%225f181018-5ea%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/24.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/24.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:43	1721/1721	---M--	200	added ('OK')	image/svg+xml	etag:%225f181018-6b9%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_7/25.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_7/25.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:43	361882/361882	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f18101f-5859a%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_8/1.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_8/1.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:43	170215/170215	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181020-298e7%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_8/2.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_8/2.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:44	119755/119755	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181021-1d3cb%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_8/3.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_8/3.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:44	313234/313234	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225f181021-4c792%22	https://demo.artureanec.com/html/r-energy/img/svg/variant_8/4.svg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/svg/variant_8/4.svg	(from https://demo.artureanec.com/html/r-energy/icon-list.html)
15:39:45	124670/124670	---M--	200	added ('OK')	image/jpeg	etag:%225f180f62-1e6fe%22	https://demo.artureanec.com/html/r-energy/img/blog-detail-img.jpg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/blog-detail-img.jpg	(from https://demo.artureanec.com/html/r-energy/blog-detail.html)
15:39:46	150959/150959	---M--	200	added ('OK')	image/jpeg	etag:%225f180f62-24daf%22	https://demo.artureanec.com/html/r-energy/img/blog-detail.jpg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/blog-detail.jpg	(from https://demo.artureanec.com/html/r-energy/blog-detail.html)
15:39:46	3821/3821	---M--	200	added ('OK')	image/jpeg	etag:%225f180f5d-eed%22	https://demo.artureanec.com/html/r-energy/img/author-img.jpg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/author-img.jpg	(from https://demo.artureanec.com/html/r-energy/blog-detail.html)
15:39:46	3445/3445	---M--	200	added ('OK')	image/jpeg	etag:%225f180f5a-d75%22	https://demo.artureanec.com/html/r-energy/img/author-2.jpg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/author-2.jpg	(from https://demo.artureanec.com/html/r-energy/blog-detail.html)
15:39:46	2816/2816	---M--	200	added ('OK')	image/jpeg	etag:%225f180f5b-b00%22	https://demo.artureanec.com/html/r-energy/img/author-3.jpg	C:/My%20Web%20Sites/r/demo.artureanec.com/html/r-energy/img/author-3.jpg	(from https://demo.artureanec.com/html/r-energy/blog-detail.html)
